designation,lf_2024_mmdh,lf_2025_mmdh,variation_pct,part_2025_pct,source
I- Recettes fiscales,,,,,SLF-23 Fr-2025 p.23
Impôts directs et taxes assimilées,117.0759,140.7352,,,SLF-23 Fr-2025 p.23
Impôts indirects,128.3125,145.9537,,,SLF-23 Fr-2025 p.23
Droits de douane,15.5121,21.0504,,,SLF-23 Fr-2025 p.23
Droits d’enregistrement et de timbre,19.4952,21.9797,,,SLF-23 Fr-2025 p.23
Total Recettes fiscales,280.3957,329.719,,,SLF-23 Fr-2025 p.23
II- Recettes non fiscales,,,,,SLF-23 Fr-2025 p.23
Produits des cessions de participations de l’Etat,5.0,6.0,,,SLF-23 Fr-2025 p.23
"Produits de monopoles, d'exploitations et des participations financières de l'Etat",19.48,22.5503,,,SLF-23 Fr-2025 p.23
Revenus du domaine de l’Etat,0.3545,0.3545,,,SLF-23 Fr-2025 p.23
Recettes diverses,4.5944,8.7169,,,SLF-23 Fr-2025 p.23
Dons et legs,1.5,1.5,,,SLF-23 Fr-2025 p.23
Total Recettes non fiscales,30.9289,39.1217,,,SLF-23 Fr-2025 p.23
Recettes ordinaires (I+II),311.3246,368.8407,,,SLF-23 Fr-2025 p.23
Recettes d'emprunts à moyen et long terme,123.41,125.0,,,SLF-23 Fr-2025 p.23
TOTAL DES RECETTES DU BUDGET GENERAL,434.7346,493.8407,,,SLF-23 Fr-2025 p.23
