designation,lf_2025_mmdh,plf_2026_mmdh,variation_pct,source
1 - Impôts directs et taxes assimilées,140.7352,165.6902,17.73,Note-presentation_Fr p.29
2 - Impôts indirects,145.9537,167.8896,15.03,Note-presentation_Fr p.29
3 - Droits de douane,21.0504,18.1802,-13.64,Note-presentation_Fr p.29
4 - Droits d'enregistrement et de timbre,21.9797,24.3212,10.65,Note-presentation_Fr p.29
5 - Revenus du Domaine de l'Etat,0.3545,0.5995,69.11,Note-presentation_Fr p.29
"6 - Produits des monopoles, d'exploitations et des participations financières de l'Etat",22.5503,27.522,22.05,Note-presentation_Fr p.29
7 - Dons et Legs,1.5,1.5,0.0,Note-presentation_Fr p.29
8 - Produits de Cession des Participations de l'Etat,6.0,6.0,0.0,Note-presentation_Fr p.29
9 - Recettes diverses,8.7169,9.6224,10.39,Note-presentation_Fr p.29
Total,368.8407,421.325,14.23,Note-presentation_Fr p.29
